,Unnamed: 0,Title,Address,Longitude,Latitude,행정동,geometry,x,y
42,42,사람그리고이야기,충남 천안시 동남구 천호지길 17,127.1729212,36.83484353,신안동,POINT (970834.9477403286 1870786.168758199),970834.9477403286,1870786.168758199
43,43,카페 루,충남 천안시 동남구 서부대로 531-20,127.12908,36.81511186,봉명동,POINT (966917.1956990595 1868611.597796361),966917.1956990595,1868611.597796361
44,44,더레이크스토리,"충남 천안시 서북구 업성수변로 120 1,2층",127.19431,36.80488,성성동,POINT (972731.5274605945 1867455.990715825),972731.5274605945,1867455.990715825
45,45,숨,충남 천안시 동남구 목천읍 덕전1길 24,127.2223979,36.80929913,목천읍,POINT (975238.4819604314 1867938.564204854),975238.4819604314,1867938.564204854
46,46,랜디스커피,충남 천안시 서북구 불당16길 20-1 1층,127.1070587,36.80116911,불당1동,POINT (964946.7254286296 1867072.7686242228),964946.7254286296,1867072.7686242228
47,47,제이스맨션,충남 천안시 서북구 불당28길 24 1층,127.1019411,36.81143285,불당2동,POINT (964494.9346190472 1868213.217091719),964494.9346190472,1868213.217091719
48,48,릴리프,충남 천안시 서북구 성성11길 24-1 1층,127.1372973,36.84328507,부성2동,POINT (967661.9688328839 1871734.0595541322),967661.9688328839,1871734.0595541322
49,49,더캣,충남 천안시 동남구 먹거리11길 31 4층,127.1559145,36.818392,신안동,POINT (969311.9152815796 1868966.5159652955),969311.9152815796,1868966.5159652955
50,50,카페슈,충남 천안시 동남구 중리1길 55 1동,127.1441609,36.77286496,청룡동,POINT (968244.8518161924 1863920.0369073376),968244.8518161924,1863920.0369073376
51,51,루베아,"충남 천안시 동남구 목천읍 교촌7길 46-11 1,2층",127.22756,36.80111242,목천읍,POINT (975696.3442603205 1867029.0885287344),975696.3442603205,1867029.0885287344
52,52,지로스터커피,"충남 천안시 동남구 천호지길 27 2동 지하1층,1층",127.1732807,36.83604138,신안동,POINT (970867.4581035331 1870918.9374282055),970867.4581035331,1870918.9374282055
53,53,투카인즈오브커피,충남 천안시 서북구 불당16길 26 1층,127.1075544,36.8012303,불당1동,POINT (964990.9735892644 1867079.3748895745),964990.9735892644,1867079.3748895745
54,54,시유당,충남 천안시 동남구 풍세면 휴양림길 99-18 1~3층,127.092356,36.7295023,풍세면,POINT (963601.2743921613 1859128.2827810536),963601.2743921613,1859128.2827810536
55,55,카페코몽,충남 천안시 서북구 쌍용14길 10 1층,127.1203375,36.80008995,쌍용2동,POINT (966130.8225864462 1866948.2727660907),966130.8225864462,1866948.2727660907
56,56,파고다포레스트,충남 천안시 동남구 목천읍 교천지산길 128,127.1977371,36.77953309,목천읍,POINT (973028.3520413347 1864643.2913044952),973028.3520413347,1864643.2913044952
57,57,프리퍼팩토리,충남 천안시 동남구 목천읍 종합휴양지로 77,127.229634,36.76450007,목천읍,POINT (975869.8850908896 1862967.172396336),975869.8850908896,1862967.172396336
58,58,로스터리파르,충남 천안시 서북구 동서대로 17-40,127.1240248,36.82741629,백석동,POINT (966471.6824857483 1869978.2964673552),966471.6824857483,1869978.2964673552
59,59,어거스트센트,충남 천안시 동남구 공설시장2길 9-2,127.1495699,36.80958414,중앙동,POINT (968742.4741449922 1867991.5121769456),968742.4741449922,1867991.5121769456
60,60,미소레커피,충남 천안시 동남구 단대로 161-1 1층,127.1665605,36.82859559,신안동,POINT (970265.3553145297 1870095.0407821024),970265.3553145297,1870095.0407821024
61,61,기와52,충남 천안시 동남구 북면 충절로 1474-15,127.2709421,36.76953836,북면,POINT (979557.9688229627 1863516.4484425373),979557.9688229627,1863516.4484425373
62,62,비브레이브,충남 천안시 서북구 한들3로 36-16,127.1253779,36.82653855,백석동,POINT (966591.9666886221 1869880.4543978085),966591.9666886221,1869880.4543978085
63,63,타타스베이글,충남 천안시 동남구 태조산길 220-3 1층,127.1863926,36.81859197,원성1동,POINT (972030.2580716626 1868979.3489922006),972030.2580716626,1868979.3489922006
64,64,힐사이드카페,충남 천안시 서북구 안터길 75-37 2층,127.1614981,36.84498261,부성1동,POINT (969820.3505254703 1871914.4519255122),969820.3505254703,1871914.4519255122
65,65,천안타운홀,충남 천안시 동남구 옛시청길 29 47층,127.1502065,36.80690227,문성동,POINT (968798.1693393529 1867693.8037655368),968798.1693393529,1867693.8037655368
66,66,뷰282,충남 천안시 동남구 유량로 282,127.1833949,36.8093727,원성1동,POINT (971759.5147110454 1867957.5342266334),971759.5147110454,1867957.5342266334
67,67,더엑스엑스,충남 천안시 동남구 청수10길 4-54,127.1610973,36.78192944,청룡동,POINT (969759.8254287498 1864920.0707644145),969759.8254287498,1864920.0707644145
68,68,그림스,"충남 천안시 동남구 미죽5길 232-1 1,2층",127.158828,36.75919274,청룡동,POINT (969548.3455300691 1862398.6191033162),969548.3455300691,1862398.6191033162
69,69,오르엘크리스탈카페,충남 천안시 서북구 성거읍 망향로 791,127.2056942,36.88692937,성거읍,POINT (973775.0711213655 1876554.6059740759),973775.0711213655,1876554.6059740759
70,70,어나더카페,충남 천안시 동남구 목천읍 서리1길 89 1층,127.2342138,36.78870625,목천읍,POINT (976286.089720433 1865651.2050501632),976286.089720433,1865651.2050501632
